product_id,product_name,category_id,supplier_id,brand,unit_cost,unit_price,status,created_date
1,NovaCraft Pet Bed 1,6,19,NovaCraft,161.45,266.30,active,2023-05-20
2,Lumina Cookware Set 2,6,67,Lumina,188.59,419.56,active,2025-02-16
3,CoreFlex Coffee Maker 3,9,25,CoreFlex,188.64,408.51,active,2024-03-21
4,ZenHaus Running Shoes 4,6,79,ZenHaus,128.03,280.71,active,2025-09-16
5,UrbanEdge Coffee Maker 5,5,1,UrbanEdge,145.08,279.46,active,2025-12-30
6,TerraWorks Face Serum 6,11,37,TerraWorks,190.16,463.84,active,2024-07-20
7,Purely Face Serum 7,3,28,Purely,63.65,104.78,active,2025-11-12
8,SwiftPro Running Shoes 8,1,36,SwiftPro,10.21,16.55,active,2025-11-05
9,EcoSphere Sunglasses 9,8,8,EcoSphere,65.17,158.06,active,2024-12-08
10,EcoSphere Board Game 10,7,57,EcoSphere,50.28,76.25,active,2024-11-05
11,BlueNest Desk Lamp 11,4,31,BlueNest,150.87,276.19,active,2024-03-20
12,BrightPath Face Serum 12,2,40,BrightPath,62.53,137.84,active,2025-08-02
13,SwiftPro Bluetooth Speaker 13,11,13,SwiftPro,183.64,503.90,active,2023-06-01
14,BlueNest Sunglasses 14,4,38,BlueNest,48.54,131.52,active,2024-09-15
15,SwiftPro Garden Hose 15,2,37,SwiftPro,177.14,428.75,active,2025-09-05
16,EverPeak Garden Hose 16,10,28,EverPeak,98.13,221.05,active,2023-04-24
17,BrightPath Desk Lamp 17,11,31,BrightPath,213.89,307.64,active,2025-08-12
18,BlueNest Board Game 18,8,47,BlueNest,196.43,544.84,active,2025-06-28
19,UrbanEdge Water Bottle 19,3,66,UrbanEdge,141.20,330.11,active,2025-09-30
20,EverPeak Coffee Maker 20,7,10,EverPeak,7.13,9.28,active,2025-08-13
21,Lumina Car Charger 21,1,10,Lumina,48.85,129.75,active,2025-04-18
22,NovaCraft Garden Hose 22,6,23,NovaCraft,70.34,152.91,active,2023-06-19
23,Lumina Office Chair 23,9,29,Lumina,77.12,181.47,active,2025-07-21
24,EcoSphere Bluetooth Speaker 24,10,76,EcoSphere,88.74,215.91,active,2024-01-08
25,UrbanEdge Mixer 25,2,44,UrbanEdge,103.43,262.05,discontinued,2023-03-31
26,TerraWorks Desk Lamp 26,2,48,TerraWorks,211.11,335.67,active,2023-02-09
27,BlueNest Headphones 27,8,33,BlueNest,122.88,227.97,active,2025-11-10
28,TerraWorks Mixer 28,12,26,TerraWorks,219.77,332.98,active,2023-08-11
29,BlueNest Smart Watch 29,9,33,BlueNest,154.18,211.16,active,2024-06-27
30,Purely Bluetooth Speaker 30,9,5,Purely,126.31,159.68,active,2023-03-13
31,EcoSphere Pet Bed 31,4,46,EcoSphere,134.86,253.60,active,2024-10-12
32,BlueNest Smart Watch 32,1,42,BlueNest,58.57,133.08,active,2024-09-29
33,ZenHaus Face Serum 33,9,11,ZenHaus,193.02,396.06,active,2025-11-07
34,BrightPath Headphones 34,11,52,BrightPath,109.92,219.12,active,2025-05-02
35,TerraWorks Office Chair 35,11,29,TerraWorks,217.62,419.00,active,2023-04-22
36,Northstar Headphones 36,11,21,Northstar,86.98,135.10,active,2024-12-23
37,BlueNest Face Serum 37,5,25,BlueNest,173.91,370.53,active,2025-12-18
38,EverPeak Pet Bed 38,6,13,EverPeak,189.89,512.57,active,2023-11-16
39,BlueNest Pet Bed 39,11,17,BlueNest,62.24,152.68,active,2024-05-09
40,Apex Mixer 40,11,48,Apex,50.93,92.83,active,2025-10-18
41,CoreFlex Pet Bed 41,11,67,CoreFlex,109.29,263.29,active,2024-08-31
42,NovaCraft Running Shoes 42,5,73,NovaCraft,8.96,19.66,active,2023-02-02
43,TerraWorks Running Shoes 43,7,54,TerraWorks,152.13,380.78,active,2024-01-02
44,BrightPath Garden Hose 44,2,57,BrightPath,67.11,151.07,active,2025-10-22
45,Purely Face Serum 45,5,38,Purely,9.84,25.34,active,2023-01-17
46,Lumina Sunglasses 46,11,9,Lumina,154.15,360.00,active,2025-12-21
47,SwiftPro Running Shoes 47,6,78,SwiftPro,130.35,297.84,active,2024-01-16
48,Vividly Smart Watch 48,8,28,Vividly,110.60,231.70,active,2023-07-22
49,UrbanEdge Board Game 49,8,33,UrbanEdge,76.27,105.18,active,2025-03-26
50,SwiftPro Desk Lamp 50,12,68,SwiftPro,158.36,421.55,active,2025-09-26
51,NovaCraft Car Charger 51,8,37,NovaCraft,217.80,335.66,active,2023-01-28
52,UrbanEdge Face Serum 52,11,72,UrbanEdge,77.90,148.37,active,2025-05-30
53,NovaCraft Office Chair 53,4,25,NovaCraft,92.51,184.46,active,2024-02-28
54,BlueNest Desk Lamp 54,10,55,BlueNest,194.86,374.07,active,2025-02-22
55,UrbanEdge Pet Bed 55,3,56,UrbanEdge,155.48,277.26,active,2024-08-23
56,BrightPath Face Serum 56,11,26,BrightPath,161.43,249.99,active,2025-09-15
57,SwiftPro Pet Bed 57,2,16,SwiftPro,214.60,392.51,active,2025-04-03
58,Vividly Backpack 58,6,13,Vividly,100.83,199.87,active,2023-10-24
59,Vividly Coffee Maker 59,4,22,Vividly,109.51,220.58,active,2025-05-18
60,Purely Garden Hose 60,3,33,Purely,126.68,237.37,active,2024-01-26
61,Lumina Backpack 61,9,43,Lumina,191.12,284.85,active,2024-01-08
62,Lumina Car Charger 62,11,80,Lumina,33.41,59.70,active,2023-10-05
63,BrightPath Cookware Set 63,4,17,BrightPath,198.67,531.56,active,2025-12-02
64,NovaCraft Cookware Set 64,8,8,NovaCraft,146.18,259.15,active,2023-10-26
65,Lumina Face Serum 65,6,23,Lumina,217.01,428.71,active,2023-01-04
66,Vividly Board Game 66,7,5,Vividly,214.08,423.03,active,2023-04-24
67,Northstar Desk Lamp 67,11,75,Northstar,159.93,249.67,active,2025-04-07
68,SwiftPro Headphones 68,12,75,SwiftPro,139.50,338.66,active,2025-11-01
69,Northstar Board Game 69,6,26,Northstar,79.03,149.57,active,2025-09-30
70,BrightPath Backpack 70,7,58,BrightPath,207.59,403.01,active,2025-04-27
71,Vividly Pet Bed 71,9,44,Vividly,31.75,82.16,active,2025-11-01
72,UrbanEdge Smart Watch 72,2,9,UrbanEdge,96.36,269.48,active,2023-05-20
73,Apex Smart Watch 73,12,52,Apex,154.73,381.94,discontinued,2025-12-04
74,CoreFlex Notebook 74,7,28,CoreFlex,6.91,18.63,active,2024-03-30
75,Apex Mixer 75,5,27,Apex,10.29,25.99,active,2025-05-19
76,EcoSphere Mixer 76,2,51,EcoSphere,36.29,80.61,active,2025-11-19
77,BlueNest Bluetooth Speaker 77,7,62,BlueNest,111.49,270.12,active,2024-11-02
78,TerraWorks Face Serum 78,3,50,TerraWorks,112.75,201.21,active,2024-12-03
79,EcoSphere Car Charger 79,12,56,EcoSphere,14.76,20.29,discontinued,2023-12-06
80,BrightPath Smart Watch 80,3,4,BrightPath,173.26,313.35,active,2025-09-09
81,ZenHaus Pet Bed 81,8,57,ZenHaus,4.96,11.66,active,2023-03-23
82,Apex Running Shoes 82,8,58,Apex,100.82,231.91,active,2024-07-20
83,Northstar Smart Watch 83,12,38,Northstar,22.49,36.92,discontinued,2025-04-17
84,CoreFlex Desk Lamp 84,3,67,CoreFlex,207.31,538.51,active,2024-10-08
85,BrightPath Desk Lamp 85,11,1,BrightPath,57.37,126.61,active,2023-03-10
86,Lumina Desk Lamp 86,4,30,Lumina,27.50,57.25,active,2023-12-12
87,BrightPath Bluetooth Speaker 87,3,60,BrightPath,96.31,193.42,active,2025-12-22
88,Northstar Garden Hose 88,9,12,Northstar,29.75,79.02,discontinued,2025-06-29
89,Apex Office Chair 89,9,45,Apex,205.58,342.67,active,2025-11-04
90,Northstar Running Shoes 90,9,30,Northstar,138.84,366.46,active,2025-06-13
91,BrightPath Headphones 91,2,33,BrightPath,146.01,234.07,active,2025-02-26
92,EcoSphere Smart Watch 92,8,11,EcoSphere,55.99,80.95,active,2025-03-01
93,BrightPath Sunglasses 93,11,44,BrightPath,159.22,335.30,active,2024-12-31
94,Apex Notebook 94,2,3,Apex,11.72,18.90,active,2025-12-10
95,Purely Mixer 95,3,67,Purely,165.78,316.18,active,2024-09-05
96,SwiftPro Desk Lamp 96,5,44,SwiftPro,103.64,218.94,active,2025-03-24
97,BrightPath Water Bottle 97,5,45,BrightPath,133.76,218.64,active,2023-11-14
98,Apex Board Game 98,12,15,Apex,160.30,396.79,active,2025-02-11
99,Purely Smart Watch 99,5,74,Purely,14.59,27.85,active,2024-06-12
100,NovaCraft Car Charger 100,4,18,NovaCraft,5.73,10.98,discontinued,2024-04-20
101,SwiftPro Coffee Maker 101,1,31,SwiftPro,209.15,325.57,active,2023-07-14
102,SwiftPro Mixer 102,12,17,SwiftPro,18.60,47.27,active,2025-09-20
103,EverPeak Car Charger 103,4,53,EverPeak,16.95,39.32,active,2025-01-19
104,UrbanEdge Notebook 104,10,7,UrbanEdge,177.38,222.40,discontinued,2024-03-26
105,CoreFlex Backpack 105,7,44,CoreFlex,194.49,484.35,discontinued,2024-05-08
106,BrightPath Water Bottle 106,7,19,BrightPath,55.96,95.56,active,2023-04-25
107,Northstar Smart Watch 107,12,46,Northstar,140.89,231.36,active,2025-09-23
108,TerraWorks Backpack 108,9,65,TerraWorks,43.04,109.49,active,2025-04-03
109,Northstar Bluetooth Speaker 109,10,35,Northstar,216.16,577.76,active,2024-12-25
110,Apex Yoga Mat 110,5,38,Apex,100.44,269.71,active,2025-12-21
111,Apex Desk Lamp 111,2,21,Apex,173.38,468.02,active,2024-07-25
112,Lumina Mixer 112,10,74,Lumina,218.27,354.94,active,2023-01-31
113,EcoSphere Car Charger 113,11,53,EcoSphere,81.06,148.39,discontinued,2024-01-31
114,UrbanEdge Smart Watch 114,4,7,UrbanEdge,205.51,286.34,active,2023-10-10
115,Northstar Sunglasses 115,2,67,Northstar,191.35,450.73,active,2023-02-23
116,Vividly Headphones 116,3,4,Vividly,205.06,335.03,active,2025-09-25
117,EcoSphere Bluetooth Speaker 117,12,12,EcoSphere,155.95,382.11,discontinued,2023-05-25
118,BlueNest Car Charger 118,8,70,BlueNest,171.97,272.10,active,2024-02-24
119,BrightPath Travel Mug 119,10,60,BrightPath,23.15,63.78,active,2025-01-02
120,NovaCraft Board Game 120,4,36,NovaCraft,87.35,118.53,active,2025-07-28
121,Purely Face Serum 121,6,73,Purely,82.77,131.84,discontinued,2024-01-06
122,Northstar Running Shoes 122,7,38,Northstar,27.96,43.20,active,2023-03-03
123,EverPeak Sunglasses 123,3,41,EverPeak,212.49,482.21,active,2024-11-20
124,TerraWorks Backpack 124,2,30,TerraWorks,109.92,248.69,active,2023-07-05
125,Northstar Yoga Mat 125,3,57,Northstar,139.98,260.71,active,2024-06-29
126,UrbanEdge Sunglasses 126,3,38,UrbanEdge,10.73,18.28,active,2024-01-27
127,BrightPath Headphones 127,11,44,BrightPath,147.97,308.02,active,2023-06-07
128,Purely Pet Bed 128,12,44,Purely,50.05,111.42,discontinued,2023-03-05
129,BrightPath Travel Mug 129,10,36,BrightPath,175.14,410.82,active,2024-12-01
130,ZenHaus Face Serum 130,5,12,ZenHaus,191.07,381.30,active,2023-12-24
131,BrightPath Yoga Mat 131,2,64,BrightPath,46.77,110.86,active,2025-07-22
132,EverPeak Office Chair 132,5,49,EverPeak,189.72,442.88,active,2024-12-26
133,EcoSphere Garden Hose 133,2,69,EcoSphere,210.28,480.67,active,2025-07-15
134,UrbanEdge Notebook 134,11,28,UrbanEdge,58.14,103.68,active,2025-01-11
135,Lumina Desk Lamp 135,7,44,Lumina,82.92,226.97,active,2024-03-04
136,Apex Board Game 136,9,71,Apex,27.87,62.78,active,2024-05-12
137,NovaCraft Board Game 137,7,30,NovaCraft,204.69,345.20,active,2025-02-02
138,ZenHaus Pet Bed 138,10,44,ZenHaus,141.40,309.61,active,2025-08-09
139,EcoSphere Cookware Set 139,5,16,EcoSphere,14.86,37.54,active,2025-05-04
140,Northstar Backpack 140,3,59,Northstar,44.11,77.75,active,2025-11-02
141,BrightPath Garden Hose 141,4,53,BrightPath,167.87,468.41,active,2024-02-13
142,Northstar Backpack 142,2,14,Northstar,156.43,229.13,active,2024-10-31
143,NovaCraft Travel Mug 143,11,40,NovaCraft,42.17,72.87,active,2024-03-04
144,EcoSphere Travel Mug 144,12,56,EcoSphere,167.80,238.89,active,2025-08-10
145,Purely Mixer 145,9,23,Purely,208.91,561.07,active,2024-02-01
146,Purely Coffee Maker 146,6,36,Purely,150.27,218.22,active,2025-08-06
147,BrightPath Desk Lamp 147,8,65,BrightPath,202.66,300.86,active,2024-02-25
148,Lumina Desk Lamp 148,5,31,Lumina,53.82,125.68,active,2023-08-05
149,NovaCraft Sunglasses 149,9,22,NovaCraft,207.37,336.19,active,2025-09-14
150,Apex Yoga Mat 150,3,1,Apex,24.57,33.43,active,2025-11-16
151,ZenHaus Cookware Set 151,12,80,ZenHaus,57.96,98.13,active,2024-02-04
152,BrightPath Smart Watch 152,2,16,BrightPath,169.85,378.63,active,2023-08-25
153,Lumina Board Game 153,5,11,Lumina,192.74,407.66,active,2024-03-22
154,EcoSphere Car Charger 154,3,14,EcoSphere,56.23,116.84,active,2025-02-26
155,Vividly Face Serum 155,11,65,Vividly,145.90,319.62,active,2023-12-19
156,EverPeak Water Bottle 156,10,80,EverPeak,155.86,319.26,active,2024-10-26
157,TerraWorks Water Bottle 157,1,24,TerraWorks,203.21,481.95,active,2024-08-13
158,NovaCraft Travel Mug 158,6,25,NovaCraft,65.61,171.61,active,2023-12-24
159,Apex Pet Bed 159,6,31,Apex,40.15,52.62,active,2023-11-28
160,BlueNest Pet Bed 160,6,38,BlueNest,170.99,279.44,active,2023-09-27
161,EverPeak Backpack 161,9,54,EverPeak,171.27,415.93,active,2023-12-30
162,ZenHaus Running Shoes 162,4,27,ZenHaus,155.84,301.75,active,2023-02-01
163,EverPeak Yoga Mat 163,4,42,EverPeak,216.46,301.41,active,2024-11-28
164,UrbanEdge Headphones 164,3,49,UrbanEdge,177.52,337.63,active,2023-01-16
165,UrbanEdge Face Serum 165,12,69,UrbanEdge,213.82,301.06,active,2025-01-25
166,SwiftPro Water Bottle 166,7,73,SwiftPro,29.53,50.10,active,2025-06-20
167,EverPeak Mixer 167,4,10,EverPeak,185.71,446.06,active,2023-12-02
168,NovaCraft Smart Watch 168,12,66,NovaCraft,99.73,246.26,active,2024-05-20
169,SwiftPro Headphones 169,2,69,SwiftPro,111.87,287.02,active,2025-04-23
170,Lumina Smart Watch 170,9,72,Lumina,173.63,381.62,active,2025-04-12
171,SwiftPro Travel Mug 171,8,51,SwiftPro,180.51,432.44,active,2025-09-16
172,Vividly Headphones 172,12,73,Vividly,129.33,217.83,active,2024-01-14
173,SwiftPro Backpack 173,2,74,SwiftPro,18.68,47.40,active,2023-11-21
174,EcoSphere Desk Lamp 174,10,31,EcoSphere,60.24,125.36,active,2024-08-27
175,SwiftPro Water Bottle 175,3,58,SwiftPro,116.96,303.90,active,2025-03-21
176,NovaCraft Running Shoes 176,5,23,NovaCraft,77.32,192.57,active,2025-07-09
177,UrbanEdge Headphones 177,3,8,UrbanEdge,118.01,289.59,active,2023-01-19
178,Apex Smart Watch 178,9,24,Apex,176.70,350.46,active,2024-02-29
179,BlueNest Pet Bed 179,12,33,BlueNest,199.87,341.85,active,2024-09-12
180,TerraWorks Notebook 180,7,7,TerraWorks,170.41,302.81,active,2023-01-21
181,CoreFlex Running Shoes 181,6,62,CoreFlex,11.43,28.73,active,2024-09-07
182,EcoSphere Board Game 182,8,57,EcoSphere,107.84,255.54,active,2024-07-29
183,TerraWorks Headphones 183,1,40,TerraWorks,69.44,100.17,active,2023-04-26
184,SwiftPro Pet Bed 184,4,56,SwiftPro,162.38,410.30,active,2023-05-10
185,BlueNest Garden Hose 185,12,73,BlueNest,6.07,13.63,active,2024-09-10
186,Purely Coffee Maker 186,2,63,Purely,129.31,214.55,active,2023-02-23
187,Northstar Notebook 187,3,42,Northstar,103.27,139.62,active,2023-01-30
188,ZenHaus Pet Bed 188,12,77,ZenHaus,53.09,91.12,active,2025-06-25
189,CoreFlex Face Serum 189,2,66,CoreFlex,198.07,284.81,active,2025-03-16
190,Purely Yoga Mat 190,11,45,Purely,21.64,52.74,active,2025-08-10
191,NovaCraft Yoga Mat 191,7,66,NovaCraft,99.07,212.89,active,2025-02-10
192,BlueNest Headphones 192,10,76,BlueNest,5.21,8.49,active,2024-05-25
193,SwiftPro Coffee Maker 193,1,39,SwiftPro,36.72,98.54,active,2024-05-30
194,ZenHaus Garden Hose 194,3,80,ZenHaus,98.15,148.03,active,2024-09-01
195,BlueNest Board Game 195,1,53,BlueNest,67.75,141.53,active,2024-03-02
196,UrbanEdge Office Chair 196,4,4,UrbanEdge,62.94,111.33,active,2025-11-15
197,EcoSphere Bluetooth Speaker 197,10,65,EcoSphere,212.13,573.58,active,2024-04-20
198,Vividly Travel Mug 198,1,21,Vividly,34.56,59.36,active,2025-03-30
199,ZenHaus Desk Lamp 199,1,42,ZenHaus,181.65,311.45,active,2024-04-07
200,ZenHaus Garden Hose 200,5,37,ZenHaus,178.79,435.09,active,2023-05-30
201,EcoSphere Backpack 201,9,62,EcoSphere,200.20,285.93,active,2023-02-19
202,ZenHaus Backpack 202,11,23,ZenHaus,169.78,410.27,active,2023-11-10
203,ZenHaus Pet Bed 203,9,35,ZenHaus,179.65,436.02,discontinued,2023-04-03
204,Apex Bluetooth Speaker 204,5,17,Apex,117.52,216.59,active,2023-03-03
205,Northstar Headphones 205,3,14,Northstar,93.29,187.79,active,2023-10-26
206,EcoSphere Office Chair 206,12,10,EcoSphere,110.51,262.52,discontinued,2024-03-05
207,UrbanEdge Smart Watch 207,7,74,UrbanEdge,95.55,249.69,active,2023-06-12
208,EcoSphere Sunglasses 208,11,16,EcoSphere,80.47,166.61,active,2024-06-19
209,TerraWorks Face Serum 209,8,58,TerraWorks,98.77,131.45,active,2023-07-07
210,Apex Car Charger 210,2,25,Apex,219.69,415.80,active,2024-01-11
211,EverPeak Travel Mug 211,6,45,EverPeak,62.04,151.99,active,2024-02-09
212,Lumina Sunglasses 212,6,66,Lumina,33.16,50.86,active,2024-11-20
213,Apex Smart Watch 213,3,60,Apex,163.86,213.65,active,2024-07-25
214,Vividly Desk Lamp 214,9,33,Vividly,204.59,424.83,active,2025-12-23
215,BlueNest Car Charger 215,12,33,BlueNest,199.62,368.85,active,2024-03-28
216,SwiftPro Desk Lamp 216,10,21,SwiftPro,158.20,389.92,active,2025-02-15
217,EcoSphere Car Charger 217,4,58,EcoSphere,65.82,104.65,active,2023-11-06
218,SwiftPro Desk Lamp 218,8,55,SwiftPro,128.56,257.96,active,2023-12-02
219,NovaCraft Car Charger 219,10,36,NovaCraft,105.61,266.03,discontinued,2025-05-31
220,ZenHaus Sunglasses 220,7,43,ZenHaus,137.56,291.99,active,2025-08-18
221,BlueNest Garden Hose 221,11,43,BlueNest,5.08,8.08,active,2023-02-18
222,UrbanEdge Backpack 222,4,21,UrbanEdge,114.39,252.19,active,2023-03-07
223,ZenHaus Coffee Maker 223,11,61,ZenHaus,109.97,261.63,active,2025-04-20
224,BrightPath Backpack 224,6,65,BrightPath,140.84,345.38,active,2023-05-28
225,BlueNest Running Shoes 225,6,21,BlueNest,147.02,230.03,active,2025-12-18
226,EverPeak Sunglasses 226,11,18,EverPeak,44.08,109.09,active,2023-02-12
227,Apex Running Shoes 227,5,15,Apex,52.31,105.41,active,2025-03-02
228,UrbanEdge Garden Hose 228,8,13,UrbanEdge,29.45,37.31,active,2024-10-30
229,BlueNest Bluetooth Speaker 229,1,51,BlueNest,145.42,229.17,active,2025-09-16
230,NovaCraft Yoga Mat 230,12,41,NovaCraft,152.00,329.63,active,2025-07-12
231,UrbanEdge Notebook 231,3,24,UrbanEdge,54.00,69.07,active,2023-08-24
232,EverPeak Backpack 232,12,7,EverPeak,152.48,223.07,active,2025-07-13
233,EcoSphere Office Chair 233,7,51,EcoSphere,17.00,37.02,active,2025-03-13
234,Northstar Mixer 234,8,9,Northstar,143.53,265.83,active,2025-01-19
235,TerraWorks Running Shoes 235,6,50,TerraWorks,120.37,165.85,active,2023-12-18
236,BrightPath Mixer 236,11,60,BrightPath,139.16,264.82,active,2025-08-21
237,BrightPath Cookware Set 237,11,40,BrightPath,41.64,59.04,active,2024-12-29
238,Apex Yoga Mat 238,3,3,Apex,218.75,301.39,discontinued,2023-09-02
239,Northstar Desk Lamp 239,9,68,Northstar,131.43,246.53,active,2023-09-26
240,CoreFlex Cookware Set 240,4,12,CoreFlex,120.97,263.65,active,2024-05-07
241,CoreFlex Face Serum 241,5,48,CoreFlex,198.53,520.53,active,2025-06-02
242,BlueNest Yoga Mat 242,9,41,BlueNest,10.14,27.35,active,2024-08-12
243,UrbanEdge Face Serum 243,6,16,UrbanEdge,39.67,83.00,active,2023-10-14
244,UrbanEdge Mixer 244,7,77,UrbanEdge,26.33,43.50,active,2024-04-05
245,UrbanEdge Travel Mug 245,1,20,UrbanEdge,214.17,500.63,active,2024-06-30
246,SwiftPro Car Charger 246,2,64,SwiftPro,27.08,46.89,active,2023-04-09
247,UrbanEdge Running Shoes 247,9,30,UrbanEdge,216.28,385.04,active,2024-02-10
248,Purely Desk Lamp 248,4,26,Purely,41.19,110.65,active,2024-12-29
249,Northstar Water Bottle 249,3,5,Northstar,137.89,327.19,active,2023-09-13
